Date,Price,Open,High,Low,Vol.,Change %
2015-03-06,193.88,199.21,200.75,192.15,6.71M,-0.03360
2015-03-05,200.63,202.85,206.19,200.15,4.88M,-0.00890
2015-03-04,202.44,199.25,202.52,197.21,4.22M,0.01440
2015-03-03,199.56,196.81,200.24,195.32,4.43M,0.01140
2015-03-02,197.32,202.7,203.34,195.82,7.92M,-0.02960
2015-02-27,203.34,206.9,208.55,202.8,3.88M,-0.01860
2015-02-26,207.19,204,211.09,202.22,6.47M,0.01680
2015-02-25,203.76,204.94,207.14,202.58,3.91M,-0.00170
2015-02-24,204.11,207.29,207.29,201.7,6.60M,-0.01560
2015-02-23,207.34,215.66,218.2,206.33,8.50M,-0.04500
2015-02-20,217.11,210.78,217.6,209.81,5.98M,0.02550
2015-02-19,211.71,205,212.44,203.75,5.15M,0.03550
2015-02-18,204.46,204.17,206.17,202.6,2.71M,0.00050
2015-02-17,204.35,205.7,205.7,201.5,3.98M,0.00280
2015-02-13,203.77,202.9,205.99,200.91,6.19M,0.00440
2015-02-12,202.88,193.57,203.09,193.28,15.65M,-0.04660
2015-02-11,212.8,212.21,214.74,207.28,9.77M,-0.01610
2015-02-10,216.29,217.55,220.5,215,5.39M,-0.00550
2015-02-09,217.48,215.38,217.93,211.99,3.47M,0.00060
2015-02-06,217.36,222,223.4,216.5,3.24M,-0.01640
2015-02-05,220.99,219.88,225.48,219.64,3.52M,0.01120
2015-02-04,218.55,218.29,221.48,216.8,3.31M,0.00090
2015-02-03,218.36,213.22,220.37,211.27,4.83M,0.03520
2015-02-02,210.94,203.97,211.95,203.3,4.15M,0.03610
2015-01-30,203.6,203.96,207.47,203,3.01M,-0.00780
2015-01-29,205.2,201.07,205.98,196.5,3.55M,0.02920
2015-01-28,199.37,206.11,206.37,198.42,3.15M,-0.03210
2015-01-27,205.98,204.42,208.03,203.3,2.78M,-0.00280
2015-01-26,206.55,201.83,208.62,201.05,3.23M,0.02610
2015-01-23,201.29,200.29,203.5,198.33,3.44M,-0.00160
2015-01-22,201.62,197,203.24,195.2,4.12M,0.02570
2015-01-21,196.57,189.55,198.68,189.51,4.15M,0.02420
2015-01-20,191.93,193.87,194.12,187.04,4.50M,-0.00590
2015-01-16,193.07,190.7,194.49,189.65,3.60M,0.00630
2015-01-15,191.87,194.49,195.75,190,5.22M,-0.00430
2015-01-14,192.69,185.83,195.2,185,11.55M,-0.05660
2015-01-13,204.25,203.32,207.61,200.91,4.48M,0.01010
2015-01-12,202.21,203.05,204.47,199.25,5.95M,-0.02150
2015-01-09,206.66,208.92,209.98,204.96,4.67M,-0.01880
2015-01-08,210.62,212.81,213.8,210.01,3.44M,-0.00160
2015-01-07,210.95,213.35,214.78,209.78,2.97M,-0.00160
2015-01-06,211.28,210.06,214.2,204.21,6.26M,0.00570
2015-01-05,210.09,214.55,216.5,207.16,5.37M,-0.04200
2015-01-02,219.31,222.87,223.25,213.26,4.76M,-0.01390
2014-12-31,222.41,223.09,225.68,222.25,2.40M,0.00080
2014-12-30,222.23,223.99,225.65,221.4,2.90M,-0.01540
2014-12-29,225.71,226.9,227.91,224.02,2.81M,-0.00930
2014-12-26,227.82,221.51,228.5,221.5,3.33M,0.02500
2014-12-24,222.26,219.77,222.5,219.25,1.33M,0.00580
2014-12-23,220.97,223.81,224.31,219.52,4.51M,-0.00730
2014-12-22,222.6,220,224.06,218.26,4.81M,0.01510
2014-12-19,219.29,220.19,220.4,214.5,6.91M,0.00470
2014-12-18,218.26,212.38,218.44,211.8,7.48M,0.06040
2014-12-17,205.82,193.06,206.65,192.65,7.37M,0.04050
2014-12-16,197.81,200.89,203.68,195.37,8.43M,-0.03050
2014-12-15,204.04,209.29,209.8,202.67,5.22M,-0.01430
2014-12-12,207,204.82,211.68,204.5,7.17M,-0.00900
2014-12-11,208.88,210.53,215.43,208.23,6.69M,-0.00460
2014-12-10,209.84,214.13,216.77,207.7,7.31M,-0.03250
2014-12-09,216.89,209.34,217.73,204.27,9.43M,0.01180
2014-12-08,214.36,221.54,224.86,212.34,9.23M,-0.04180
2014-12-05,223.71,228.67,229.39,222.26,6.06M,-0.02000
2014-12-04,228.28,228.6,230.9,227.81,3.88M,-0.00440
2014-12-03,229.3,226.25,229.72,225.5,5.31M,-0.00920
2014-12-02,231.43,234.57,237.5,228,5.89M,-0.00090
2014-12-01,231.64,241.16,242.47,229.01,8.62M,-0.05270
2014-11-28,244.52,245.35,246.69,242.52,2.12M,-0.01580
2014-11-26,248.44,248.34,249,246.6,1.98M,0.00140
2014-11-25,248.09,247.35,249.72,246.09,3.16M,0.00560
2014-11-24,246.72,245.2,247.6,240.64,4.79M,0.01620
2014-11-21,242.78,252.21,252.78,242.17,7.49M,-0.02380
2014-11-20,248.71,247.95,250.93,246,3.59M,0.00390
2014-11-19,247.74,250.61,251.88,245.6,7.92M,-0.03860
2014-11-18,257.7,255.86,259.99,255.51,4.47M,0.01460
2014-11-17,253.98,257.49,259,252.02,4.03M,-0.01820
2014-11-14,258.68,250,258.85,248.5,6.10M,0.02770
2014-11-13,251.7,250.62,255.75,250.25,6.24M,0.01040
2014-11-12,249.1,249.72,252.34,245.58,5.87M,-0.00790
2014-11-11,251.08,242.55,251.82,242,7.95M,0.03780
2014-11-10,241.93,239.11,242.88,236.8,4.58M,0.00720
2014-11-07,240.2,242.19,242.84,237.2,5.16M,-0.00420
2014-11-06,241.22,234.49,246.69,228.5,15.35M,0.04440
2014-11-05,230.97,241,241.36,230.53,9.05M,-0.03330
2014-11-04,238.93,240.49,242.35,236.53,3.68M,-0.01510
2014-11-03,242.59,243,247.56,241.32,4.21M,0.00370
2014-10-31,241.7,242.51,243.12,238.75,3.78M,0.01270
2014-10-30,238.66,238.14,240.5,235.06,3.23M,0.00240
2014-10-29,238.1,241.13,241.5,235.64,4.97M,-0.01920
2014-10-28,242.77,229.6,244.6,228.25,10.52M,0.09520
2014-10-27,221.67,234.25,234.61,220.31,9.55M,-0.05770
2014-10-24,235.24,236.27,237.8,231.2,3.47M,-0.00020
2014-10-23,235.29,234.66,236.28,232,3.50M,0.01810
2014-10-22,231.1,233.19,237.39,230.56,4.12M,-0.01800
2014-10-21,235.34,234.27,235.39,230.8,4.13M,0.02110
2014-10-20,230.47,226.72,232.4,225.51,3.50M,0.01310
2014-10-17,227.48,233.38,234.77,226.55,10.55M,0.00500
2014-10-16,226.35,219.72,229.92,219.1,5.40M,-0.01460
2014-10-15,229.7,220,230.99,217.32,9.15M,0.01160
2014-10-14,227.06,228.25,232.47,223,7.11M,0.01100
2014-10-13,224.59,238.57,238.96,221,11.28M,-0.05200
2014-10-10,236.91,244.64,245.89,235.2,12.90M,-0.07820
2014-10-09,257.01,262.25,265.54,254.4,7.36M,-0.00880
2014-10-08,259.28,260.1,262.88,252.64,5.06M,-0.00110
2014-10-07,259.57,258.53,261.46,255.73,4.49M,-0.00400
2014-10-06,260.62,259.13,262.49,257.8,7.72M,0.02120
2014-10-03,255.21,253.06,256.5,251.03,5.41M,0.01510
2014-10-02,251.42,250.2,252.79,245.36,9.00M,0.04650
2014-10-01,240.24,242.2,242.66,235.65,5.95M,-0.01010
2014-09-30,242.68,246.92,247.65,240.12,4.25M,-0.01050
2014-09-29,245.26,244,248.64,241.38,4.85M,-0.00540
2014-09-26,246.6,248.25,249.73,246.07,3.80M,-0.00140
2014-09-25,246.95,252.52,254.96,246.1,4.84M,-0.02060
2014-09-24,252.14,251.12,252.84,247.04,3.75M,0.00690
2014-09-23,250.41,245.22,253.8,245,5.66M,0.00150
2014-09-22,250.03,255,256.02,244.71,8.22M,-0.03580
2014-09-19,259.32,257.99,261.43,255.27,6.81M,-0.01710
2014-09-18,263.82,263.36,265.6,262.32,3.70M,0.00930
2014-09-17,261.38,262.41,264.7,259.5,5.18M,0.00250
2014-09-16,260.74,255.15,262.46,252.42,8.30M,0.02710
2014-09-15,253.86,274.37,274.4,249.13,16.46M,-0.09080
2014-09-12,279.2,280.5,282.39,277,3.33M,-0.00400
2014-09-11,280.31,280.46,284.79,278.63,3.77M,-0.00280
2014-09-10,281.1,279.5,281.41,273.66,3.79M,0.00940
2014-09-09,278.48,282.99,285.49,277,4.57M,-0.01290
2014-09-08,282.11,277.62,284.88,277.52,5.51M,0.01700
2014-09-05,277.39,282.55,282.9,272.51,11.18M,-0.03020
2014-09-04,286.04,284.01,291.42,280.4,8.34M,0.01720
2014-09-03,281.19,287.67,288,280.1,6.78M,-0.01030
2014-09-02,284.12,275.5,284.89,274.3,9.85M,0.05350
2014-08-29,269.7,268.7,272,267.51,6.45M,0.02210
2014-08-28,263.86,261.89,264.48,261.64,2.85M,0.00230
2014-08-27,263.25,263.5,264.24,260.29,2.99M,0.00580
2014-08-26,261.74,264.98,265.5,261.66,3.82M,-0.00310
2014-08-25,262.55,258.19,263.68,258.19,4.32M,0.02250
2014-08-22,256.78,254.54,256.95,252.61,2.84M,0.00960
2014-08-21,254.34,256.52,258.8,253.26,2.92M,-0.00540
2014-08-20,255.71,254.67,258.74,253,3.03M,-0.00410
2014-08-19,256.76,258.87,259.33,251.62,5.34M,-0.01220
2014-08-18,259.94,263.25,267.26,259.75,5.85M,-0.00790
2014-08-15,262.01,261.48,262.09,258.5,3.87M,0.00240
2014-08-14,261.38,262.49,263,256.5,4.13M,0.00410
2014-08-13,260.31,262.01,265.64,259.61,6.93M,0.00130
2014-08-12,259.96,258.08,260.3,254.58,6.39M,0.00250
2014-08-11,259.32,255.48,263.74,255,8.10M,0.04510
2014-08-08,248.13,251.16,251.76,246.5,5.10M,-0.01690
2014-08-07,252.39,250.12,256.69,249.12,7.48M,0.01390
2014-08-06,248.93,238.9,251.42,238.58,9.25M,0.04380
2014-08-05,238.49,237.47,242.99,235.69,5.39M,-0.00010
2014-08-04,238.52,234.38,240.5,233.27,5.97M,0.02250
2014-08-01,233.27,226.09,237.5,226,11.90M,0.04460
2014-07-31,223.3,229.26,231.4,221.5,7.75M,-0.02460
2014-07-30,228.92,221.92,229.6,221.04,4.93M,0.01740
2014-07-29,225.01,226.61,228.3,224.86,3.39M,0.00080
2014-07-28,224.82,224.25,232,221.4,6.52M,0.00560
2014-07-25,223.57,222.72,226.97,221.75,3.09M,0.00010
2014-07-24,223.54,223.25,225.1,220.8,3.25M,0.00470
2014-07-23,222.49,220.01,224.75,219.43,3.09M,0.01330
2014-07-22,219.58,222.19,223.3,219.11,2.73M,-0.00440
2014-07-21,220.54,217.25,223.21,216.72,3.83M,0.00240
2014-07-18,220.02,215.95,221.21,215.93,4.26M,0.02140
2014-07-17,215.4,216.16,220.55,213.6,4.65M,-0.00810
2014-07-16,217.16,221.82,224.8,216.82,4.05M,-0.01100
2014-07-15,219.58,226.73,227.65,218.1,5.73M,-0.03140
2014-07-14,226.7,219.99,228.79,215.45,7.21M,0.03930
2014-07-11,218.13,220.61,221.6,217.6,3.31M,-0.00610
2014-07-10,219.46,217.18,222.22,216.04,4.87M,-0.01610
2014-07-09,223.06,221.27,224.22,219.21,4.12M,0.01820
2014-07-08,219.07,218.65,220.96,214.27,7.85M,-0.01610
2014-07-07,222.66,227.5,229.78,220.4,5.90M,-0.02870
2014-07-03,229.25,231.29,231.9,224,5.17M,-0.00080
2014-07-02,229.43,240.66,242.33,227.07,8.04M,-0.04290
2014-07-01,239.72,242.46,243.44,238.7,4.34M,-0.00140
2014-06-30,240.06,239.55,244.49,239,4.83M,0.00420
2014-06-27,239.06,234.69,240,234.5,5.64M,0.01470
2014-06-26,235.6,237.17,240.4,234.21,5.12M,-0.00540
2014-06-25,236.89,233.05,237.55,230.24,5.80M,0.01890
2014-06-24,232.5,238.97,241.88,231.63,8.08M,-0.01990
2014-06-23,237.22,229.51,238.99,228.22,7.80M,0.03320
2014-06-20,229.59,228.52,231.29,226.2,4.91M,0.00790
2014-06-19,227.79,228.88,235.31,227,8.80M,0.00290
2014-06-18,227.12,231.5,231.71,226.12,6.95M,-0.01960
2014-06-17,231.67,224.11,235.54,222.85,13.30M,0.03140
2014-06-16,224.61,206.76,225.49,206.26,13.25M,0.08810
2014-06-13,206.42,204.78,206.79,201.58,3.55M,0.01420
2014-06-12,203.52,205.1,209.88,202.71,6.00M,-0.00460
2014-06-11,204.47,201.5,205,199.25,3.98M,0.01070
2014-06-10,202.3,204.43,206.97,201.55,3.52M,-0.01470
2014-06-09,205.31,207.95,209.99,204.2,2.81M,-0.01370
2014-06-06,208.17,209.75,210.81,207.18,3.07M,0.00610
